,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
483,0.0,Mon Jan 08 14:41:02 +0000 2018,1.0,0.0,0.0,"Last May, Jared Kushner accompanied President Trump on the pair’s first diplomatic trip to Israel.

Shortly before,… https://t.co/Wh8ixjfeAJ",84,@nytimes
484,-0.2732,Mon Jan 08 14:36:33 +0000 2018,0.684,0.198,0.118,"RT @UpshotNYT: The jobless rate is low; so are the president's approval ratings. Historically, there is something wrong with this picture.…",85,@nytimes
485,-0.8126,Mon Jan 08 14:31:09 +0000 2018,0.571,0.364,0.064,A fire broke out near the top of Trump Tower in New York. A firefighter was hurt by falling debris and 2 civilians… https://t.co/4hDyD7QG0Z,86,@nytimes
486,0.0,Mon Jan 08 14:15:14 +0000 2018,1.0,0.0,0.0,Eight pairs of actresses and activists attended the Golden Globes together. Here's what the talked about. https://t.co/sGsKyd6ayI,87,@nytimes
487,0.0,Mon Jan 08 14:00:22 +0000 2018,1.0,0.0,0.0,Bannon needs Breitbart. Does Breitbart need Bannon? https://t.co/tZJwuNPPJN,88,@nytimes
488,0.0,Mon Jan 08 13:46:07 +0000 2018,1.0,0.0,0.0,Natalie Portman delivered a line that instantly landed among the Golden Globes's most memorable https://t.co/MfWRlh8Qst,89,@nytimes
489,0.0258,Mon Jan 08 13:32:06 +0000 2018,0.687,0.155,0.159,"""The Globes still celebrated the power players of a system in which Harvey Weinstein, whose abuses precipitated the… https://t.co/Wd3YTSqaSn",90,@nytimes
490,0.0,Mon Jan 08 13:00:28 +0000 2018,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/23Cz3w9O2c https://t.co/CZj0pS6XM0,91,@nytimes
491,-0.7096,Mon Jan 08 12:45:15 +0000 2018,0.704,0.296,0.0,Iran has banned the teaching of English in primary schools to block Western “cultural invasion” https://t.co/aN2PrcD34n,92,@nytimes
492,-0.7003,Mon Jan 08 12:31:05 +0000 2018,0.746,0.254,0.0,"A senior BBC News editor accused the network of operating a ""secretive and illegal"" salary system that pays men mor… https://t.co/JB8M9n4B4r",93,@nytimes
493,0.0,Mon Jan 08 12:15:09 +0000 2018,1.0,0.0,0.0,A transcript of Seth Meyers's Golden Globes monologue https://t.co/MeEYazWZ6h,94,@nytimes
494,0.2732,Mon Jan 08 12:00:21 +0000 2018,0.89,0.0,0.11,"President Trump defended his fitness for office after a new book raised questions about his mental health, calling… https://t.co/AZZgNfvkgC",95,@nytimes
495,0.0258,Mon Jan 08 11:50:08 +0000 2018,0.942,0.0,0.058,"Stephen Bannon tried backing away from his explosive comments, saying that the younger Trump was ""both a patriot an… https://t.co/TpdTx9rGoe",96,@nytimes
496,0.0,Mon Jan 08 11:40:13 +0000 2018,1.0,0.0,0.0,"Read speeches from Elisabeth Moss, Laura Dern, Frances McDormand and Gary Oldman https://t.co/vXYIWzJyXj",97,@nytimes
497,0.0,Mon Jan 08 11:30:06 +0000 2018,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/onNxHFF46I https://t.co/uC0AobaWGP,98,@nytimes
498,-0.2732,Mon Jan 08 11:21:02 +0000 2018,0.909,0.091,0.0,"An Iranian oil tanker that collided with another ship off China's coast is at risk of exploding and sinking, the Ch… https://t.co/XrCcYABhA0",99,@nytimes
499,0.4215,Mon Jan 08 11:11:02 +0000 2018,0.877,0.0,0.123,"RT @nytimesworld: Remember the “new Coke” blunder? The makers of Irn Bru, a popular Scottish soda, are facing a similar uproar from custome…",100,@nytimes
